Weekend_Dates,Days,Movie_Name,Revenue,Viewers,Shows,Average_Revenue_Per_Show,Average_Viewers_Per_Show,Revenue_Share,Shows_Share
02.02 - 05.02.2017,3,Рай (2016),5918883,19747,707,8371,27,0.93%,0.72%
02.02 - 05.02.2017,3,Семейное ограбление,6350657,21808,2099,3025,10,1.00%,2.15%
02.02 - 05.02.2017,3,Викинг 12+ и 18+,7499169,32421,1650,4544,19,1.18%,1.69%
02.02 - 05.02.2017,3,2+1,8046003,28831,888,9060,32,1.27%,0.91%
26.01 - 29.01.2017,3,Кэрэл,2878255,11621,127,22663,91,0.45%,0.13%
26.01 - 29.01.2017,3,Огни большой деревни,3375369,13883,2257,1495,6,0.53%,2.31%
26.01 - 29.01.2017,3,Невеста .,4363535,22082,1621,2691,13,0.69%,1.66%
26.01 - 29.01.2017,3,Пассажиры (2016),4613976,17640,646,7142,27,0.73%,0.66%
26.01 - 29.01.2017,3,Молчание (2016),4637419,14133,1009,4596,14,0.73%,1.03%
26.01 - 29.01.2017,3,Пазманский дьявол,5794877,18368,1002,5783,18,0.91%,1.02%
26.01 - 29.01.2017,3,Рай (2016),5918883,19747,707,8371,27,0.93%,0.72%
26.01 - 29.01.2017,3,Семейное ограбление,6350657,21808,2099,3025,10,1.00%,2.15%
26.01 - 29.01.2017,3,Викинг 12+ и 18+,7499169,32421,1650,4544,19,1.18%,1.69%
26.01 - 29.01.2017,3,2+1,8046003,28831,888,9060,32,1.27%,0.91%
19.01 - 22.01.2017,3,Притяжение (2016),391892626,1326381,36225,10818,36,49.99%,35.80%
19.01 - 22.01.2017,3,Три икса: Мировое господство,97401796,351643,17251,5646,20,12.42%,17.05%
19.01 - 22.01.2017,3,Балерина,76978981,337324,13134,5861,25,9.82%,12.98%
19.01 - 22.01.2017,3,Ла-Ла Ленд,39520512,132511,2835,13940,46,5.04%,2.80%
19.01 - 22.01.2017,3,Невеста .,35976280,146578,8567,4199,17,4.59%,8.47%
19.01 - 22.01.2017,3,Почему он?,28862549,107866,3107,9289,34,3.68%,3.07%
19.01 - 22.01.2017,3,Викинг 12+ и 18+,21897423,88333,2835,7723,31,2.79%,2.80%
19.01 - 22.01.2017,3,Семейное ограбление,19243119,66906,4770,4034,14,2.45%,4.71%
19.01 - 22.01.2017,3,2+1,12008969,42489,1165,10308,36,1.53%,1.15%
19.01 - 22.01.2017,3,Рай (2016),11417932,37249,1271,8983,29,1.46%,1.26%
12.01 - 15.01.2017,3,Три икса: Мировое господство,301644250,1023532,33368,9039,30,41.06%,31.92%
12.01 - 15.01.2017,3,Невеста .,95044505,381324,15141,6277,25,12.94%,14.48%
12.01 - 15.01.2017,3,Почему он?,61082499,223052,8808,6934,25,8.32%,8.43%
12.01 - 15.01.2017,3,Ла-Ла Ленд,53726293,181253,5814,9240,31,7.31%,5.56%
12.01 - 15.01.2017,3,Викинг 12+ и 18+,47829581,186496,7689,6220,24,6.51%,7.36%
12.01 - 15.01.2017,3,Кредо убийцы,35985453,131750,7836,4592,16,4.90%,7.50%
12.01 - 15.01.2017,3,Три богатыря и Морской царь,24782752,128765,5199,4766,24,3.37%,4.97%
12.01 - 15.01.2017,3,Монстр-траки,19753721,87766,3001,6582,29,2.69%,2.87%
12.01 - 15.01.2017,3,2+1,18660027,66508,2114,8826,31,2.54%,2.02%
12.01 - 15.01.2017,3,Рай (2016),17444919,54344,1787,9762,30,2.37%,1.71%
12.01 - 15.01.2017,3,Фантастические твари и где они обитают,556214,2320,66,8427,35,0.08%,0.06%
12.01 - 15.01.2017,3,МУЛЬТ в кино. Выпуск № 44,1164237,9866,673,1729,14,0.17%,0.65%
12.01 - 15.01.2017,3,Моана. Путь к сердцу,1722397,7635,195,8832,39,0.25%,0.19%
12.01 - 15.01.2017,3,Дед Мороз. Битва Магов,1913413,10775,772,2478,13,0.27%,0.75%
12.01 - 15.01.2017,3,Без тормозов (2016),1972560,8028,752,2623,10,0.28%,0.73%
12.01 - 15.01.2017,3,Призрачная красота,2310896,7279,217,10649,33,0.33%,0.21%
12.01 - 15.01.2017,3,Изгой-один: Звёздные войны. Истории,3629966,11763,420,8642,28,0.52%,0.41%
12.01 - 15.01.2017,3,По млечному пути,4405458,14693,1207,3649,12,0.63%,1.17%
12.01 - 15.01.2017,3,Ёлки 5,13818740,62378,2694,5129,23,1.98%,2.60%
12.01 - 15.01.2017,3,Не стучи дважды,15419927,59474,2062,7478,28,2.21%,1.99%
05.01 - 08.01.2017,3,Фантастические твари и где они обитают,556214,2320,66,8427,35,0.08%,0.06%
05.01 - 08.01.2017,3,МУЛЬТ в кино. Выпуск № 44,1164237,9866,673,1729,14,0.17%,0.65%
05.01 - 08.01.2017,3,Моана. Путь к сердцу,1722397,7635,195,8832,39,0.25%,0.19%
05.01 - 08.01.2017,3,Дед Мороз. Битва Магов,1913413,10775,772,2478,13,0.27%,0.75%
05.01 - 08.01.2017,3,Без тормозов (2016),1972560,8028,752,2623,10,0.28%,0.73%
05.01 - 08.01.2017,3,Призрачная красота,2310896,7279,217,10649,33,0.33%,0.21%
05.01 - 08.01.2017,3,Изгой-один: Звёздные войны. Истории,3629966,11763,420,8642,28,0.52%,0.41%
05.01 - 08.01.2017,3,По млечному пути,4405458,14693,1207,3649,12,0.63%,1.17%
05.01 - 08.01.2017,3,Ёлки 5,13818740,62378,2694,5129,23,1.98%,2.60%
05.01 - 08.01.2017,3,Не стучи дважды,15419927,59474,2062,7478,28,2.21%,1.99%
29.12 - 01.01.2017,3,Кредо убийцы,594371039,1921108,30712,19353,62,34.68%,26.14%
29.12 - 01.01.2017,3,Викинг 12+ и 18+,374132855,1365929,23683,15797,57,21.83%,20.16%
29.12 - 01.01.2017,3,Три богатыря и Морской царь,206625135,922921,17682,11685,52,12.05%,15.05%
29.12 - 01.01.2017,3,Монстр-траки,136863980,528750,9010,15190,58,7.98%,7.67%
29.12 - 01.01.2017,3,Пассажиры (2016),123063642,408435,7925,15528,51,7.18%,6.75%
29.12 - 01.01.2017,3,Ёлки 5,113180124,430052,9373,12075,45,6.60%,7.98%
29.12 - 01.01.2017,3,СНЕЖНАЯ КОРОЛЕВА 3. ОГОНЬ И ЛЁД,75740086,336297,7782,9732,43,4.42%,6.62%
29.12 - 01.01.2017,3,Изгой-один: Звёздные войны. Истории,23776286,74075,2453,9692,30,1.39%,2.09%
29.12 - 01.01.2017,3,Дед Мороз. Битва Магов,23196672,104467,3960,5857,26,1.35%,3.37%
29.12 - 01.01.2017,3,Моана. Путь к сердцу,15305485,64472,1147,13343,56,0.89%,0.98%
22.12 - 25.12.2016,3,Викинг 12+ и 18+,238141850,857427,25981,9166,33,31.97%,28.03%
22.12 - 25.12.2016,3,Ёлки 5,140390307,547834,15079,9310,36,18.84%,16.27%
22.12 - 25.12.2016,3,Пассажиры (2016),124112405,416190,15021,8262,27,16.66%,16.21%
22.12 - 25.12.2016,3,Три богатыря и Морской царь,102035328,424096,10665,9567,39,13.70%,11.51%
22.12 - 25.12.2016,3,СНЕЖНАЯ КОРОЛЕВА 3. ОГОНЬ И ЛЁД,48783260,220144,10044,4856,21,6.55%,10.84%
22.12 - 25.12.2016,3,Изгой-один: Звёздные войны. Истории,37492708,113803,4907,7640,23,5.03%,5.29%
22.12 - 25.12.2016,3,Дед Мороз. Битва Магов,28027095,121580,7002,4002,17,3.76%,7.55%
22.12 - 25.12.2016,3,Моана. Путь к сердцу,9829850,44898,1689,5819,26,1.32%,1.82%
22.12 - 25.12.2016,3,Призрачная красота,7643889,26131,935,8175,27,1.03%,1.01%
22.12 - 25.12.2016,3,Ла-Ла Ленд,2638000,925,2,1319000,462,0.35%,0.00%
15.12 - 18.12.2016,3,Изгой-один: Звёздные войны. Истории,321619283,1051637,40498,7941,25,50.65%,43.44%
15.12 - 18.12.2016,3,Призрачная красота,89432025,312120,11957,7479,26,14.08%,12.83%
15.12 - 18.12.2016,3,Моана. Путь к сердцу,82179625,366298,12485,6582,29,12.94%,13.39%
15.12 - 18.12.2016,3,Новогодний корпоратив,55505691,211989,8869,6258,23,8.74%,9.51%
15.12 - 18.12.2016,3,Союзники,17744591,57555,2520,7041,22,2.79%,2.70%
15.12 - 18.12.2016,3,Фантастические твари и где они обитают,16624722,69106,2679,6205,25,2.62%,2.87%
15.12 - 18.12.2016,3,Под покровом ночи (2016),11514356,36427,2269,5074,16,1.81%,2.43%
15.12 - 18.12.2016,3,Землетрясение .,10926905,47628,2384,4583,19,1.72%,2.56%
15.12 - 18.12.2016,3,28 Панфиловцев,10615526,49572,2725,3895,18,1.67%,2.92%
15.12 - 18.12.2016,3,Дары смерти,7174747,28567,2156,3327,13,1.13%,2.31%
15.12 - 18.12.2016,3,Плохой Санта 2,547618,2371,258,2122,9,0.09%,0.28%
15.12 - 18.12.2016,3,Плохой Санта 2. Перевод Гоблина,632851,1688,96,6592,17,0.10%,0.10%
15.12 - 18.12.2016,3,Доктор Стрэндж,686257,3080,135,5083,22,0.11%,0.14%
15.12 - 18.12.2016,3,Другой мир: Войны крови,702723,3201,234,3003,13,0.11%,0.25%
15.12 - 18.12.2016,3,Дом напротив (2016),877302,3985,338,2595,11,0.14%,0.36%
15.12 - 18.12.2016,3,Прибытие,923119,3586,167,5527,21,0.15%,0.18%
15.12 - 18.12.2016,3,МУЛЬТ в кино. Выпуск № 42,1090748,9388,1058,1030,8,0.17%,1.13%
15.12 - 18.12.2016,3,Любовь не за горами,1141247,4875,378,3019,12,0.18%,0.41%
15.12 - 18.12.2016,3,Одиссея (2016),1960713,8041,421,4657,19,0.31%,0.45%
15.12 - 18.12.2016,3,Миссия: Неадекватна,3111278,11052,1595,1950,6,0.49%,1.71%
08.12 - 11.12.2016,3,Моана. Путь к сердцу,191139089,801021,25118,7609,31,31.67%,26.51%
08.12 - 11.12.2016,3,Новогодний корпоратив,133976320,491198,17331,7730,28,22.20%,18.29%
08.12 - 11.12.2016,3,Фантастические твари и где они обитают,59781797,215592,8245,7250,26,9.91%,8.70%
08.12 - 11.12.2016,3,Союзники,57416458,189193,8513,6744,22,9.51%,8.99%
08.12 - 11.12.2016,3,Землетрясение .,48222387,184180,9414,5122,19,7.99%,9.94%
08.12 - 11.12.2016,3,28 Панфиловцев,36746118,157503,7226,5085,21,6.09%,7.63%
08.12 - 11.12.2016,3,Под покровом ночи (2016),28838326,89882,5061,5698,17,4.78%,5.34%
08.12 - 11.12.2016,3,Другой мир: Войны крови,9613564,40797,2767,3474,14,1.59%,2.92%
08.12 - 11.12.2016,3,Инкарнация,7053083,29653,2850,2474,10,1.17%,3.01%
08.12 - 11.12.2016,3,Одиссея (2016),6364307,25141,1392,4572,18,1.05%,1.47%
08.12 - 11.12.2016,3,Тролли,967217,5043,291,3323,17,0.16%,0.31%
08.12 - 11.12.2016,3,По соображениям совести,1076601,4888,220,4893,22,0.18%,0.23%
08.12 - 11.12.2016,3,Ура! Каникулы!,1306226,6151,630,2073,9,0.22%,0.67%
08.12 - 11.12.2016,3,"Хуже, чем ложь",1495280,3437,409,3655,8,0.25%,0.43%
08.12 - 11.12.2016,3,МУЛЬТ в кино. Выпуск № 42,1799495,14871,899,2001,16,0.30%,0.95%
08.12 - 11.12.2016,3,Прибытие,2750089,11149,413,6658,26,0.46%,0.44%
08.12 - 11.12.2016,3,Плохой Санта 2. Перевод Гоблина,2776593,8874,430,6457,20,0.46%,0.45%
08.12 - 11.12.2016,3,Дом напротив (2016),3451504,13110,1029,3354,12,0.57%,1.09%
08.12 - 11.12.2016,3,Доктор Стрэндж,3878713,12723,517,7502,24,0.64%,0.55%
08.12 - 11.12.2016,3,Плохой Санта 2,4837803,19011,1980,2443,9,0.80%,2.09%
01.12 - 04.12.2016,3,Моана. Путь к сердцу,296726464,1191560,30654,9679,38,38.66%,30.69%
01.12 - 04.12.2016,3,Фантастические твари и где они обитают,110134280,381122,11258,9782,33,14.35%,11.27%
01.12 - 04.12.2016,3,Союзники,105050390,344561,10596,9914,32,13.69%,10.61%
01.12 - 04.12.2016,3,Землетрясение .,83770254,308856,12804,6542,24,10.91%,12.82%
01.12 - 04.12.2016,3,28 Панфиловцев,71326915,291962,10939,6520,26,9.29%,10.95%
01.12 - 04.12.2016,3,Другой мир: Войны крови,36586951,131314,8408,4351,15,4.77%,8.42%
01.12 - 04.12.2016,3,Инкарнация,15569667,60407,4318,3605,13,2.03%,4.32%
01.12 - 04.12.2016,3,Плохой Санта 2,13142524,46608,3273,4015,14,1.71%,3.28%
01.12 - 04.12.2016,3,Одиссея (2016),8688243,31019,1529,5682,20,1.13%,1.53%
01.12 - 04.12.2016,3,Плохой Санта 2. Перевод Гоблина,5574979,17736,460,12119,38,0.73%,0.46%
01.12 - 04.12.2016,3,Дама Пик,983969,4168,319,3084,13,0.13%,0.32%
01.12 - 04.12.2016,3,Поезд в Пусан,1090212,4366,340,3206,12,0.14%,0.34%
01.12 - 04.12.2016,3,МУЛЬТ в кино. Выпуск № 41,1172185,9969,847,1383,11,0.15%,0.85%
01.12 - 04.12.2016,3,Абатуар. Лабиринт страха,1275646,6225,675,1889,9,0.17%,0.68%
01.12 - 04.12.2016,3,Планетариум,1421258,4406,511,2781,8,0.19%,0.51%
01.12 - 04.12.2016,3,Тролли,2072750,10302,572,3623,18,0.27%,0.57%
01.12 - 04.12.2016,3,Эластико,2083831,10362,873,2386,11,0.27%,0.87%
01.12 - 04.12.2016,3,По соображениям совести,2669510,10505,395,6758,26,0.35%,0.40%
01.12 - 04.12.2016,3,Доктор Стрэндж,3819881,17036,615,6211,27,0.50%,0.62%
01.12 - 04.12.2016,3,Прибытие,4376419,17052,500,8752,34,0.57%,0.50%
24.11 - 27.11.2016,3,Фантастические твари и где они обитают,301057103,1069868,29032,10369,36,42.89%,30.39%
24.11 - 27.11.2016,3,28 Панфиловцев,154328296,614426,20120,7670,30,21.98%,21.06%
24.11 - 27.11.2016,3,Другой мир: Войны крови,113481467,382349,20638,5498,18,16.17%,21.60%
24.11 - 27.11.2016,3,Тролли,24072002,109413,3636,6620,30,3.43%,3.81%
24.11 - 27.11.2016,3,Доктор Стрэндж,20516134,80504,2803,7319,28,2.92%,2.93%
24.11 - 27.11.2016,3,Прибытие,20011786,68406,2227,8985,30,2.85%,2.33%
24.11 - 27.11.2016,3,По соображениям совести,15126883,54061,2430,6225,22,2.15%,2.54%
24.11 - 27.11.2016,3,Эластико,11840395,48564,3184,3718,15,1.69%,3.33%
24.11 - 27.11.2016,3,Абатуар. Лабиринт страха,8060791,31553,2423,3326,13,1.15%,2.54%
24.11 - 27.11.2016,3,Дама Пик,6654353,24419,2134,3118,11,0.95%,2.23%
24.11 - 27.11.2016,3,Уиджи. Проклятие доски дьявола,1192321,5655,416,2866,13,0.17%,0.44%
24.11 - 27.11.2016,3,Бременские разбойники,1905735,11033,648,2940,17,0.27%,0.68%
24.11 - 27.11.2016,3,Вечность (2016),2011921,5797,400,5029,14,0.29%,0.42%
24.11 - 27.11.2016,3,Большой собачий побег,2229905,10490,348,6407,30,0.32%,0.36%
24.11 - 27.11.2016,3,МУЛЬТ в кино. Выпуск № 41,2273532,18711,898,2531,20,0.32%,0.94%
24.11 - 27.11.2016,3,Супергерои,2562592,13559,1077,2379,12,0.37%,1.13%
24.11 - 27.11.2016,3,Девушка в поезде,2581893,11200,425,6075,26,0.37%,0.44%
24.11 - 27.11.2016,3,Хороший Мальчик,3421449,13537,644,5312,21,0.49%,0.67%
24.11 - 27.11.2016,3,Шпионы по соседству,4009050,17230,1115,3595,15,0.57%,1.17%
24.11 - 27.11.2016,3,Поезд в Пусан,4649832,16086,941,4941,17,0.66%,0.98%
17.11 - 20.11.2016,3,Фантастические твари и где они обитают,649381473,2196834,42510,15275,51,71.32%,46.12%
17.11 - 20.11.2016,3,Прибытие,49761713,178170,7130,6979,24,5.47%,7.74%
17.11 - 20.11.2016,3,Доктор Стрэндж,45106947,159789,6266,7198,25,4.95%,6.80%
17.11 - 20.11.2016,3,Тролли,33963701,154155,4328,7847,35,3.73%,4.70%
17.11 - 20.11.2016,3,По соображениям совести,21483805,74239,3856,5571,19,2.36%,4.18%
17.11 - 20.11.2016,3,28 Панфиловцев,17983442,61526,1157,15543,53,1.98%,1.26%
17.11 - 20.11.2016,3,Хороший Мальчик,17089224,70558,4168,4100,16,1.88%,4.52%
17.11 - 20.11.2016,3,Шпионы по соседству,16218248,61577,4446,3647,13,1.78%,4.82%
17.11 - 20.11.2016,3,Дама Пик,14861712,50401,4155,3576,12,1.63%,4.51%
17.11 - 20.11.2016,3,Уиджи. Проклятие доски дьявола,9317216,38877,2737,3404,14,1.02%,2.97%
17.11 - 20.11.2016,3,Молот,1321616,7374,443,2983,16,0.15%,0.48%
17.11 - 20.11.2016,3,МУЛЬТ в кино. Выпуск № 40,1430214,12201,971,1472,12,0.16%,1.05%
17.11 - 20.11.2016,3,Любовь без правил (2016),1437814,6446,1058,1358,6,0.16%,1.15%
17.11 - 20.11.2016,3,Страх темноты,1445610,5472,752,1922,7,0.16%,0.82%
17.11 - 20.11.2016,3,Расплата (2016),2183138,6760,391,5583,17,0.24%,0.42%
17.11 - 20.11.2016,3,Ледокол,2719924,11736,491,5539,23,0.30%,0.53%
17.11 - 20.11.2016,3,Большой собачий побег,3996714,19262,702,5693,27,0.44%,0.76%
17.11 - 20.11.2016,3,Супергерои,4549678,22055,1915,2375,11,0.50%,2.08%
17.11 - 20.11.2016,3,Девушка в поезде,7261472,29043,1304,5568,22,0.80%,1.41%
17.11 - 20.11.2016,3,Бременские разбойники,8951127,51565,3395,2636,15,0.98%,3.68%
10.11 - 13.11.2016,3,Доктор Стрэндж,168495143,564579,20732,8127,27,27.56%,21.10%
10.11 - 13.11.2016,3,Прибытие,117850411,413324,10126,11638,40,19.28%,10.30%
10.11 - 13.11.2016,3,Тролли,68562581,313226,9719,7054,32,11.22%,9.89%
10.11 - 13.11.2016,3,Шпионы по соседству,54604975,197234,10995,4966,17,8.93%,11.19%
10.11 - 13.11.2016,3,Хороший Мальчик,37912489,145899,7891,4804,18,6.20%,8.03%
10.11 - 13.11.2016,3,Девушка в поезде,35354263,125442,6029,5864,20,5.78%,6.13%
10.11 - 13.11.2016,3,Уиджи. Проклятие доски дьявола,31876667,125880,7184,4437,17,5.21%,7.31%
10.11 - 13.11.2016,3,Бременские разбойники,20366379,104134,6311,3227,16,3.33%,6.42%
10.11 - 13.11.2016,3,Молот,15409554,65263,4201,3668,15,2.52%,4.27%
10.11 - 13.11.2016,3,Расплата (2016),15164340,53689,3457,4386,15,2.48%,3.52%
10.11 - 13.11.2016,3,Альдабра: Путешествие по таинственному острову,874208,3425,363,2408,9,0.14%,0.37%
10.11 - 13.11.2016,3,Танцовщица (2016),1162623,3685,295,3941,12,0.19%,0.30%
10.11 - 13.11.2016,3,Война против всех,1253028,4135,283,4427,14,0.20%,0.29%
10.11 - 13.11.2016,3,МУЛЬТ в кино. Выпуск № 40,1746793,14312,838,2084,17,0.29%,0.85%
10.11 - 13.11.2016,3,Инферно (2016),2085803,8137,309,6750,26,0.34%,0.31%
10.11 - 13.11.2016,3,Взломать блогеров,2230881,9227,388,5749,23,0.36%,0.39%
10.11 - 13.11.2016,3,Дом странных детей мисс Перегрин,4295827,18032,842,5101,21,0.70%,0.86%
10.11 - 13.11.2016,3,Любовь без правил (2016),6904609,26614,3316,2082,8,1.13%,3.37%
10.11 - 13.11.2016,3,Большой собачий побег,12279364,60046,2634,4661,22,2.01%,2.68%
10.11 - 13.11.2016,3,Ледокол,12874676,51160,2362,5450,21,2.11%,2.40%
03.11 - 06.11.2016,3,Доктор Стрэндж,503017564,1693657,35240,14274,48,45.50%,33.11%
03.11 - 06.11.2016,3,Тролли,238065114,1078031,21455,11096,50,21.53%,20.16%
03.11 - 06.11.2016,3,Девушка в поезде,112135375,397404,11861,9454,33,10.14%,11.14%
03.11 - 06.11.2016,3,Молот,52572167,210307,8009,6564,26,4.76%,7.52%
03.11 - 06.11.2016,3,Расплата (2016),50393296,171711,8096,6224,21,4.56%,7.61%
03.11 - 06.11.2016,3,Ледокол,44792102,179092,4581,9777,39,4.05%,4.30%
03.11 - 06.11.2016,3,Большой собачий побег,40267804,203656,4907,8206,41,3.64%,4.61%
03.11 - 06.11.2016,3,Дом странных детей мисс Перегрин,21195264,83912,1675,12653,50,1.92%,1.57%
03.11 - 06.11.2016,3,Инферно (2016),8102983,26215,809,10016,32,0.73%,0.76%
03.11 - 06.11.2016,3,Синдбад. Пираты семи штормов,5610627,33589,2404,2333,13,0.51%,2.26%
03.11 - 06.11.2016,3,Дуэлянт,1376540,6015,229,6011,26,0.12%,0.22%
03.11 - 06.11.2016,3,Это всего лишь конец света,1455340,5380,229,6355,23,0.13%,0.22%
03.11 - 06.11.2016,3,МУЛЬТ в кино. Выпуск № 39,2045058,17987,1151,1776,15,0.18%,1.08%
03.11 - 06.11.2016,3,Танцовщица (2016),2091348,6689,474,4412,14,0.19%,0.45%
03.11 - 06.11.2016,3,Альдабра: Путешествие по таинственному острову,2838569,11679,892,3182,13,0.26%,0.84%
03.11 - 06.11.2016,3,Макс Стил,3289743,14882,1693,1943,8,0.30%,1.59%
03.11 - 06.11.2016,3,Кубо. Легенда о самурае,3315750,17306,823,4028,21,0.30%,0.77%
03.11 - 06.11.2016,3,Взломать блогеров,4034200,5808,42,96052,138,0.36%,0.04%
03.11 - 06.11.2016,3,Война против всех,4331388,13450,510,8492,26,0.39%,0.48%
03.11 - 06.11.2016,3,Джек Ричер 2: Никогда не возвращайся,4670023,18961,1366,3418,13,0.42%,1.28%
27.10 - 30.10.2016,3,Дуэлянт,1376540,6015,229,6011,26,0.12%,0.22%
27.10 - 30.10.2016,3,Это всего лишь конец света,1455340,5380,229,6355,23,0.13%,0.22%
27.10 - 30.10.2016,3,МУЛЬТ в кино. Выпуск № 39,2045058,17987,1151,1776,15,0.18%,1.08%
27.10 - 30.10.2016,3,Танцовщица (2016),2091348,6689,474,4412,14,0.19%,0.45%
27.10 - 30.10.2016,3,Альдабра: Путешествие по таинственному острову,2838569,11679,892,3182,13,0.26%,0.84%
27.10 - 30.10.2016,3,Макс Стил,3289743,14882,1693,1943,8,0.30%,1.59%
27.10 - 30.10.2016,3,Кубо. Легенда о самурае,3315750,17306,823,4028,21,0.30%,0.77%
27.10 - 30.10.2016,3,Взломать блогеров,4034200,5808,42,96052,138,0.36%,0.04%
27.10 - 30.10.2016,3,Война против всех,4331388,13450,510,8492,26,0.39%,0.48%
27.10 - 30.10.2016,3,Джек Ричер 2: Никогда не возвращайся,4670023,18961,1366,3418,13,0.42%,1.28%
20.10 - 23.10.2016,3,Тролли,233358770,1006325,33221,7024,30,33.26%,34.65%
20.10 - 23.10.2016,3,Доктор Стрэндж,148148235,306066,2529,58579,121,21.11%,2.64%
20.10 - 23.10.2016,3,Ледокол,80301484,316032,11931,6730,26,11.44%,12.45%
20.10 - 23.10.2016,3,Расплата (2016),73958289,247698,10879,6798,22,10.54%,11.35%
20.10 - 23.10.2016,3,Дом странных детей мисс Перегрин,39845193,160431,4872,8178,32,5.68%,5.08%
20.10 - 23.10.2016,3,Инферно (2016),38192311,137597,5812,6571,23,5.44%,6.06%
20.10 - 23.10.2016,3,Джек Ричер 2: Никогда не возвращайся,36206515,133524,9098,3979,14,5.16%,9.49%
20.10 - 23.10.2016,3,Макс Стил,16460008,66330,6013,2737,11,2.35%,6.27%
20.10 - 23.10.2016,3,Кубо. Легенда о самурае,8173625,38038,2777,2943,13,1.16%,2.90%
20.10 - 23.10.2016,3,Синдбад. Пираты семи штормов,7705156,39910,4229,1821,9,1.10%,4.41%
20.10 - 23.10.2016,3,Франц,1083764,3702,226,4795,16,0.21%,0.25%
20.10 - 23.10.2016,3,Тайная жизнь домашних животных. Миньоны против газона,1219544,6970,300,4065,23,0.23%,0.33%
20.10 - 23.10.2016,3,Глубоководный горизонт,1420202,6070,368,3859,16,0.27%,0.41%
20.10 - 23.10.2016,3,Гектар,1426049,5509,56,25465,98,0.27%,0.06%
20.10 - 23.10.2016,3,Жених (2016),1537538,7829,345,4456,22,0.29%,0.38%
20.10 - 23.10.2016,3,Суперплохие,1543422,6980,1035,1491,6,0.29%,1.15%
20.10 - 23.10.2016,3,Гарри Поттер и философский камень /По роману Дж.К.Ролинг/,1828620,8595,107,17089,80,0.35%,0.12%
20.10 - 23.10.2016,3,МУЛЬТ в кино. Выпуск № 38,1839836,15837,975,1887,16,0.35%,1.08%
20.10 - 23.10.2016,3,С вещами на вылет!,2433041,8619,771,3155,11,0.46%,0.85%
20.10 - 23.10.2016,3,Ученик,2868536,10148,624,4597,16,0.55%,0.69%
13.10 - 16.10.2016,3,Инферно (2016),278581699,941754,30264,9205,31,44.66%,33.19%
13.10 - 16.10.2016,3,Дом странных детей мисс Перегрин,199871018,758284,24337,8212,31,32.04%,26.69%
13.10 - 16.10.2016,3,Аисты,31983382,147706,4893,6536,30,5.13%,5.37%
13.10 - 16.10.2016,3,Дуэлянт,30201622,112967,6522,4630,17,4.84%,7.15%
13.10 - 16.10.2016,3,Новая эра Z,14686465,55891,3966,3703,14,2.35%,4.35%
13.10 - 16.10.2016,3,Ведьма из Блэр: Новая глава,8991864,38816,2770,3246,14,1.44%,3.04%
13.10 - 16.10.2016,3,Коллектор,8534411,28785,1915,4456,15,1.37%,2.10%
13.10 - 16.10.2016,3,Глубоководный горизонт,8155708,34356,2261,3607,15,1.31%,2.48%
13.10 - 16.10.2016,3,Суперплохие,8091672,32088,4245,1906,7,1.30%,4.66%
13.10 - 16.10.2016,3,"Держи удар, детка!",7737910,35703,3133,2469,11,1.24%,3.44%
13.10 - 16.10.2016,3,Принцесса-лягушка,1183897,6155,486,2436,12,0.19%,0.53%
13.10 - 16.10.2016,3,"Москва, я терплю тебя",1493947,5365,1018,1467,5,0.24%,1.12%
13.10 - 16.10.2016,3,Гектар,1881340,7691,80,23516,96,0.30%,0.09%
13.10 - 16.10.2016,3,Тайная жизнь домашних животных. Миньоны против газона,2090651,10819,454,4604,23,0.34%,0.50%
13.10 - 16.10.2016,3,Зачинщики,2130722,8388,566,3764,14,0.34%,0.62%
13.10 - 16.10.2016,3,Франц,2281753,6994,492,4637,14,0.37%,0.54%
13.10 - 16.10.2016,3,МУЛЬТ в кино. Выпуск № 38,2471775,20647,933,2649,22,0.40%,1.02%
13.10 - 16.10.2016,3,Бриджит Джонс 3,2618985,9596,401,6531,23,0.42%,0.44%
13.10 - 16.10.2016,3,Жених (2016),5153518,24476,1108,4651,22,0.83%,1.22%
13.10 - 16.10.2016,3,Ученик,5669846,19364,1346,4212,14,0.91%,1.48%
06.10 - 09.10.2016,3,Дом странных детей мисс Перегрин,385058131,1397834,32379,11892,43,58.44%,34.60%
06.10 - 09.10.2016,3,Дуэлянт,82675823,280702,17226,4799,16,12.55%,18.41%
06.10 - 09.10.2016,3,Аисты,42315051,193916,6663,6350,29,6.42%,7.12%
06.10 - 09.10.2016,3,Глубоководный горизонт,29463936,109790,7366,3999,14,4.47%,7.87%
06.10 - 09.10.2016,3,Ведьма из Блэр: Новая глава,25950305,98414,6385,4064,15,3.94%,6.82%
06.10 - 09.10.2016,3,"Держи удар, детка!",20158754,79824,6616,3046,12,3.06%,7.07%
06.10 - 09.10.2016,3,Коллектор,15852301,50745,3407,4652,14,2.41%,3.64%
06.10 - 09.10.2016,3,Жених (2016),14696452,64545,2910,5050,22,2.23%,3.11%
06.10 - 09.10.2016,3,Зачинщики,10847467,42014,2506,4328,16,1.65%,2.68%
06.10 - 09.10.2016,3,Великолепная семерка (2016),7673880,28304,2017,3804,14,1.16%,2.16%
06.10 - 09.10.2016,3,Сноуден,1237348,4165,204,6065,20,0.19%,0.22%
06.10 - 09.10.2016,3,Чудо на Гудзоне,1251921,5541,239,5238,23,0.19%,0.26%
