title_uais,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Тобол,50124,50648,44191,36100,65700,40484,48569,63891,63360,72400,106840,641898,764689,360365,248382,210296,194952,121119,83455,81542,82397,80395,92214,73108
Омен: Перерождение,0,0,0,0,0,0,0,0,4048,3368,19178,137235,127020,115821,112797,107587,69393,69462,48801,40599,42797,37551,38967,27155
Власть,2214064,1958454,2072878,1569620,1402884,1321539,2394886,2948789,2610647,2741751,2464505,2368337,2749039,2540534,2405321,1743656,1126091,1093017,2088760,2769972,2793521,3010138,2650112,2501925
Затерянные во льдах,175,123,301,270,303,367,348,413,1028,10555,25001,127033,160471,151732,118405,130601,82976,55299,65273,54468,74910,170930,237412,113339
Лабиринты прошлого,1982,43339,2416,1715,2271,3759,18044,29390,9446,20092,23419,48974,44260,26101,38174,28697,55304,22451,16900,17233,15582,12316,49365,14235
30 безумных желаний,0,0,0,0,0,0,0,0,0,0,623,172804,108110,79531,92438,100685,79054,60763,47285,49540,45698,36380,35683,31183
Любовницы 16+ и 18+,610278,498361,520535,534781,601016,665326,676375,691583,670117,715082,810414,843430,1712692,1153353,884974,879292,849432,835107,668587,824429,797419,840969,860213,904006
Счастливого нового дня смерти,0,0,0,0,0,0,0,0,511,26579,25726,127770,434463,276701,254831,250935,172927,140123,111544,93138,97743,86195,88347,64377
Наркокурьер,3312,2505,2907,1969,1986,2843,2797,21627,8391,12517,69766,113025,439332,274216,216163,228705,198373,179504,146626,148707,149848,119171,109493,63469
Кадавр,5740,4828,4763,4326,4880,4384,4523,5533,7569,50463,69046,163034,294420,90116,73675,84613,76820,87864,79778,65529,69129,61119,77502,50496
Шутки в сторону 2: Миссия в Майами,0,0,0,0,0,0,416,818,326,306,7605,32545,104786,94597,48635,87179,78693,51278,15099,9744,9393,8978,6913,5019
Юморист,76016,59434,48587,46004,51737,67926,71649,92449,94379,108858,103437,548808,904698,587615,483504,665125,783353,359608,249099,251088,217230,216284,219950,184993
Навсикая из долины ветров,18275,12857,12677,12386,12933,12680,9988,10656,9986,10967,19310,24858,46722,30328,24131,20350,20216,19131,14358,17679,16176,17727,17615,16483
Капитан Марвел,38562,37428,381174,81415,82345,114598,222635,87752,60309,125278,141606,263037,2863414,2075030,1828675,1234531,584067,415600,312968,323921,222239,242520,252714,191665
Гости,1770932,1598072,1666332,1657658,1645267,1610442,1850190,2218753,1954922,2146321,2167269,2061781,2223859,1914723,1791777,1734009,1736318,1711043,1768277,2052518,2111673,2229559,2260561,2188280
Родители легкого поведения,7809,3630,3467,2049,2417,5064,7619,12230,8653,9562,12908,13928,119255,80001,49279,36751,21993,27766,17781,14951,14389,11340,15329,11650
Гурвинек. Волшебная игра,0,0,0,33,69,1170,751,802,493,557,1296,4385,63358,7912,6089,4416,3049,2236,4937,2419,2138,1652,2996,2309
Лови момент,15688,17413,20170,14034,15024,17033,18468,17847,20813,16996,17483,28011,103303,78059,50294,54080,54472,38286,35478,30265,31046,23347,41092,28905
Ван Гоги,278612,220704,208140,207569,176460,177999,216630,241889,227456,231968,260192,467271,518562,381605,371480,316618,324184,281809,303335,338768,327604,305100,334396,312032
Чужой,4318317,2535693,2220524,2710771,2459587,2478431,2772169,3471943,4119772,10074078,3708307,4388656,2987823,2400145,3088019,2801199,2408446,2356160,2378992,2863436,2789789,2868291,3457162,3738271
