Общий викенд,Викенд в месяце,Месяц,Даты,Дней в викенде,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,Февраль,с 08 фев. 2018 по 11 фев. 2018,3,Сборы,"367,155,057","58,101,699","55,795,366","45,031,711","37,853,753","33,350,045","29,829,474","29,187,266","20,173,477","17,581,419","13,218,971","7,565,326","7,063,733","3,852,626","3,617,475","3,548,730","2,853,476","2,340,251","2,101,168","1,991,015",,,,,,,
6,2,Февраль,с 08 фев. 2018 по 11 фев. 2018,3,Зрители,"1,315,157","231,201","224,004","163,918","114,947","111,558","118,358","122,973","74,277","89,814","40,211","23,029","25,596","12,280","17,471","11,136","23,928","7,996","5,205","7,247",,,,,,,
6,2,Февраль,с 08 фев. 2018 по 11 фев. 2018,3,Сеансы,"38,086","16,042","6,780","11,499","3,024","4,741","5,482","3,993","5,728","5,107","2,938","1,505","1,850",795,"1,341",403,"1,545",272,91,98,,,,,,,
6,2,Февраль,с 08 фев. 2018 по 11 фев. 2018,3,Сборы за сеанс,"9,640","3,621","8,229","3,916","12,517","7,034","5,441","7,309","3,521","3,442","4,499","5,026","3,818","4,846","2,697","8,805","1,846","8,603","23,089","20,316",,,,,,,
6,2,Февраль,с 08 фев. 2018 по 11 фев. 2018,3,Среднее количество зрителей,34,14,33,14,38,23,21,30,12,17,13,15,13,15,13,27,15,29,57,73,,,,,,,
7,3,Февраль,с 15 фев. 2018 по 18 фев. 2018,3,Фильм,Лёд,Пятьдесят оттенков свободы,Движение вверх,"Три билборда на границе Эббинга, Миссури",Женщины против мужчин: Крымские каникулы,Приключения Паддингтона 2,Охота на воров,Селфи,Бегущий в лабиринте: Лекарство от смерти,Недруги,Убийство священного оленя,Сердцеед,Призрачная нить,Плюшевый монстр,Место встречи,Колесо чудес,Махнем на Луну!,Секретное досье,Короче,Уиджи: Проклятие Вероники,,,,,,,
7,3,Февраль,с 15 фев. 2018 по 18 фев. 2018,3,Сборы,"452,487,237","111,254,423","26,434,648","25,350,298","22,944,591","18,212,583","16,920,419","11,681,954","10,194,118","7,204,061","6,667,088","6,259,848","6,111,782","5,913,158","5,194,396","4,574,827","4,367,608","4,081,513","3,954,526","3,290,747",,,,,,,
7,3,Февраль,с 15 фев. 2018 по 18 фев. 2018,3,Зрители,"1,748,322","408,093","107,054","77,321","96,242","76,034","58,557","45,154","40,306","23,985","19,898","20,273","19,067","31,639","16,244","15,241","20,367","11,424","17,525","14,143",,,,,,,
7,3,Февраль,с 15 фев. 2018 по 18 фев. 2018,3,Сеансы,"38,976","23,105","4,496","2,425","8,859","3,193","2,918","4,051","1,739","2,135","1,045","2,885","1,776","1,878",861,"1,334","1,808",652,"1,457","1,026",,,,,,,
7,3,Февраль,с 15 фев. 2018 по 18 фев. 2018,3,Сборы за сеанс,"11,609","4,815","5,879","10,453","2,589","5,703","5,798","2,883","5,862","3,374","6,379","2,169","3,441","3,148","6,032","3,429","2,415","6,259","2,714","3,207",,,,,,,
