Название в ЕАИС,pr_week - 8,pr_week - 7,pr_week - 6,pr_week - 5,pr_week - 4,pr_week - 3,pr_week - 2,pr_week - 1,pr_week
Бамблби,5.0,4.0,5.0,7.0,8.0,10.0,15.0,20.0,71.0
Ёлки Последние,0.0,0.0,1.0,1.0,3.0,4.0,5.0,32.0,100.0
Зеленая книга,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Клаустрофобы,4.0,6.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0
Громкая связь,2.0,3.0,4.0,5.0,7.0,10.0,12.0,74.0,100.0
Любовницы 16+ и 18+,72.0,65.0,52.0,56.0,55.0,56.0,50.0,57.0,66.0
Трезвый водитель,7.0,7.0,8.0,9.0,13.0,62.0,100.0,41.0,29.0
Мы,84.0,84.0,89.0,90.0,88.0,85.0,87.0,84.0,81.0
Кладбище домашних животных,3.0,3.0,11.0,11.0,7.0,6.0,8.0,6.0,11.0
После,75.0,74.0,70.0,73.0,77.0,77.0,75.0,78.0,87.0
В метре друг от друга,2.0,3.0,3.0,3.0,4.0,3.0,7.0,9.0,9.0
Отпетые мошенницы,9.0,7.0,5.0,6.0,9.0,11.0,22.0,66.0,100.0
Джон Уик 3,8.0,7.0,6.0,7.0,7.0,11.0,17.0,81.0,100.0
Анна,52.0,51.0,49.0,48.0,47.0,47.0,47.0,46.0,51.0
Одесса,90.0,92.0,98.0,96.0,89.0,86.0,75.0,81.0,74.0
Стриптизёрши,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,53.0
Герой,20.0,23.0,22.0,19.0,21.0,24.0,27.0,38.0,46.0
Эверест,5.0,6.0,7.0,8.0,7.0,6.0,5.0,13.0,7.0
Zомбилэнд: Контрольный выстрел,2.0,0.0,0.0,0.0,0.0,7.0,5.0,9.0,62.0
Терминатор: Темные судьбы,7.0,3.0,3.0,4.0,6.0,9.0,14.0,28.0,99.0
Доктор Сон,5.0,2.0,1.0,2.0,3.0,4.0,5.0,15.0,80.0
Аванпост,13.0,10.0,10.0,10.0,13.0,13.0,14.0,60.0,100.0
Достать ножи,0.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0
Джуманджи: Новый уровень,3.0,2.0,5.0,14.0,5.0,11.0,16.0,41.0,94.0
Союз спасения,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Три богатыря и принцесса Египта,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Величайший шоумен,0.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,10.0
Приключения Паддингтона 2,0.0,1.0,0.0,2.0,2.0,1.0,4.0,2.0,2.0
ЗОМБОЯЩИК (ZОМБОЯЩИК),nan,nan,nan,nan,nan,nan,nan,nan,0.0
Довлатов,5.0,2.0,5.0,4.0,5.0,9.0,6.0,17.0,18.0
Шерлок Гномс,3.0,1.0,1.0,0.0,3.0,3.0,23.0,82.0,100.0
Правда или действие,6.0,6.0,19.0,13.0,10.0,15.0,14.0,21.0,22.0
Черновик,13.0,13.0,11.0,9.0,13.0,26.0,61.0,100.0,65.0
Лето (Leto),0.0,28.0,19.0,28.0,19.0,18.0,9.0,28.0,19.0
Ты водишь!,1.0,1.0,1.0,1.0,4.0,8.0,6.0,6.0,7.0
Слендермен,9.0,8.0,10.0,8.0,9.0,14.0,20.0,24.0,72.0
Принцесса и дракон,2.0,1.0,4.0,2.0,3.0,12.0,87.0,100.0,61.0
Темные отражения,1.0,4.0,13.0,6.0,4.0,5.0,3.0,10.0,9.0
Счастья! Здоровья!,8.0,11.0,10.0,9.0,8.0,9.0,17.0,89.0,98.0
Тайна дома с часами,5.0,3.0,2.0,4.0,4.0,5.0,4.0,13.0,90.0
Звезда родилась,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
Без меня,21.0,17.0,16.0,16.0,17.0,15.0,22.0,19.0,18.0
Ужастики 2: Беспокойный Хэллоуин,26.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Оверлорд,18.0,18.0,17.0,18.0,24.0,17.0,19.0,16.0,20.0
Человек-паук: Через вселенные,2.0,0.0,2.0,5.0,2.0,3.0,9.0,16.0,40.0
Гринч,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0
Крид-2,0.0,0.0,100.0,0.0,49.0,0.0,0.0,0.0,0.0
Спасти Ленинград,0.0,0.0,2.0,2.0,7.0,22.0,100.0,64.0,46.0
Как я стал русским,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,7.0
Семь ужинов,0.0,1.0,2.0,3.0,4.0,5.0,14.0,89.0,100.0
Счастливого нового дня смерти,2.0,2.0,2.0,2.0,3.0,4.0,7.0,13.0,19.0
Пиковая дама. Зазеркалье,0.0,3.0,1.0,0.0,5.0,0.0,3.0,0.0,2.0
Волшебный парк Джун,1.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,48.0
Проклятие плачущей,1.0,0.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0
Большое путешествие,2.0,4.0,5.0,4.0,3.0,6.0,3.0,4.0,5.0
Годзилла 2: Король монстров,0.0,2.0,3.0,4.0,5.0,5.0,8.0,58.0,100.0
Собачья жизнь 2,6.0,8.0,7.0,4.0,5.0,5.0,2.0,5.0,4.0
"Али, рули!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Видок: Охотник на призраков,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Руслан и Людмила: Перезагрузка,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Капкан,5.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,10.0
Королевские каникулы,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Щегол,15.0,9.0,9.0,8.0,5.0,11.0,20.0,80.0,100.0
Гемини,5.0,6.0,6.0,3.0,7.0,7.0,11.0,12.0,23.0
Ангелы Чарли,8.0,7.0,8.0,8.0,9.0,10.0,20.0,65.0,100.0
Давай разведемся!,6.0,3.0,6.0,6.0,7.0,12.0,13.0,100.0,99.0
Рождество на двоих,4.0,5.0,3.0,2.0,3.0,1.0,3.0,3.0,5.0
Форма воды,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Короче,11.0,10.0,8.0,11.0,17.0,15.0,13.0,12.0,12.0
"Три билборда на границе Эббинга, Миссури",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ночные игры,1.0,0.0,1.0,1.0,1.0,2.0,2.0,10.0,83.0
Каникулы Президента,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Танки,26.0,26.0,28.0,27.0,30.0,23.0,24.0,23.0,23.0
За бортом,18.0,15.0,8.0,11.0,10.0,11.0,12.0,14.0,25.0
Секса не будет!!!,2.0,4.0,3.0,3.0,7.0,17.0,8.0,8.0,8.0
