Название в ЕАИС,id,title,title_en,plot,year,countries,tagline,actors,directors,screenwriters,producers,operators,composers,art_direction_by,editing_by,genres,cast,budget,marketing,profit_usa,profit_russia,profit_world,audience,rating,votes,imdb_rating,imdb_votes,runtime,release,posters,trailers,youtube_ids,series,series_years,release_russia,release_world,viewers,budget,age_restr,release_week_rus,release_week_rus_matched_with_google
"Отель ""Гранд Будапешт""",683999,Отель «Гранд Будапешт»,The Grand Budapest Hotel,"Фильм рассказывает об увлекательных приключениях легендарного консьержа Густава и его юного друга, портье Зеро Мустафы. Сотрудники гостиницы становятся свидетелями кражи и поисков бесценных картин эпохи Возрождения, борьбы за огромное состояние богатой семьи и… драматических изменений в Европе между двумя кровопролитными войнами XX века.",2014,"Германия, США",,"Рэйф Файнс, Тони Револори, Сирша Ронан, Эдриан Броуди, Уиллем Дефо, Эдвард Нортон, Матьё Амальрик, Харви Кейтель, Ф. Мюррэй Абрахам, Тильда Суинтон",Уэс Андерсон,"Уэс Андерсон, Стефан Цвейг, Хьюго Гиннесс","Уэс Андерсон, Джереми Доусон, Стивен Рейлс",Роберт Д. Йоумен,Александр Деспла,"Адам Штокхаузен, Штефан О. Гесслер, Джералд Салливан",Барни Пиллинг,"комедия, приключения, детектив, криминал",{},None,None,59301324,5400321,172936941,,7.871,229412,None,None,100,None,,,,FALSE,(),6.2.2014,13.3.2014,None,€23 000 000,лицам до 17 лет обязательно присутствие взрослого,6-2014,#N/A
Легенда о Коловрате,844118,Легенда о Коловрате,,"XIII век. Русь раздроблена и вот-вот падет на колени перед ханом Золотой Орды Батыем. Испепеляя города и заливая русские земли кровью, захватчики не встречают серьезного сопротивления, и лишь один воин бросает им вызов. Молодой рязанский витязь Евпатий Коловрат возглавляет отряд смельчаков, чтобы отомстить за свою любовь и за свою родину. Его отвага поразит даже Батыя, а его имя навсегда останется в памяти народа. Воин, ставший легендой. Подвиг, сохранившийся в веках.",2017,Россия,«Героем может стать каждый»,"Илья Малаков, Александр Цой, Александр Ильин мл., Юлия Хлынина, Тимофей Трибунцев, Алексей Серебряков, Игорь Савочкин, Полина Чернышова, Илья Антоненко, Георгий Пицхелаури","Джаник Файзиев, Иван Шурховецкий","Сергей Юдаков, Евгений Раевский, Дмитрий Раевский","Джаник Файзиев, Рафаел Минасбекян, Павел Степанов",Максим Осадчий,Серж Танкян,"Вилюс Ванагас, Наталья Дзюбенко, Екатерина Дыминская","Родион Николайчук, Дмитрий Слобцов","история, боевик, фэнтези",{},None,None,9996,10796309,10433259,,6.303,26323,None,None,117,None,,,,FALSE,(),30.11.2017,30.11.2017,None,360 000 000 руб.,None,48-2017,138
Кое-что на день рождения,1045587,Кое-что на день рождения,All I Wish,"День рождения. Для кого-то — праздник, а для других — день нелепых казусов и стыдных курьезов. Так, в день рождения уже не молодой, но весьма успешной модельерши Сенны Бергес, до сих пор мечтающей встретить любовь всей своей жизни, вечно случаются какие-то дурацкие истории. Однажды Сенне кажется, что наконец-то она встретила его, единственного, мужчину всей своей жизни. Но как назло он назначает ей свидание в тот самый роковой день — день ее рождения. И что на этот раз?",2017,США,«Хоть раз в году должно быть всё прекрасно»,"Шэрон Стоун, Тони Голдуин, Эллен Бёрстин, Лиза Лапира, Джейсон Гибсон, Кэйтлин Фицджералд, Жиль Марини, Фамке Янссен, Эрика Эш, Леонор Варела",Сьюзан Уолтер,Сьюзан Уолтер,"Мэтт Р. Брэйди, Эрик Бреннер, Роб Карлинер",Педро Гомез Миллан,Крис Хорват,"Адам Хендерсон, Мона Мэй, Ракель Тарбет",Роберт Брэйки,"драма, мелодрама, комедия",{},None,None,None,85206,None,,5.654,1217,5.1,1064,94,None,,,,FALSE,(),3.5.2017,1.2.2018,None :,$85 206,None,18-2017,108
Махнем на Луну!,969253,Махнем на Луну!,Condorito: La Película,"Злые инопланетяне задумали покорить нашу планету благодаря могущественному амулету, с помощью которого можно подчинить своей воле любое разумное существо. На Земле готовится спасательная операция. Но есть одна проблема. Выполнить миссию может только тот, чей интеллект очень мал и кто не подвержен действию амулета. Но где найти такого дурачка? Разве что послать в космос одного незадачливого кондора, живущего среди людей. Хоть он и портит девять дел из десяти, но сейчас, похоже, его «куриные мозги» окажутся как нельзя кстати.",2017,Перу,,"Омар Чапарро, Джессика Седиел, Кристиан де ла Фуэнте, Джей Маммон, Коко Легран, Матиас Бривио, Франсиско Кольменеро, Игнасио Очоа, Том Чарльз, Мишель Руфф","Алекс Оррелле, Эдуардо Шульдт","Родриго Мораес, Мартин Пироянски, Ишай Равид","Хавьер Эрнаэз, Хьюго Роуз, Абрахам Вурнбранд",,Фран Реверт,Алехандро Барбези,Пабло Реверт,"мультфильм, фантастика, комедия, приключения, семейный",{},8000000,None,447719,142432,8431194,,5.186,257,5.2,727,88,None,,,,FALSE,(),12.10.2017,15.2.2018,42.8 тыс.,$447 719,None,41-2017,131
Кавалерия,462849,Кавалерия,12 Strong,"Их бросили в пекло после 11 сентября, когда мир раскололся на «до» и «после». Именно им предстояло на передовой бороться с врагом, не знающим пощады. На чужой земле преимущество у всадников — этому их научили нежданные союзники. Вместе они попытаются удержать мир от погружения в хаос.",2018,США,«11 сентября 2001: Мир замер в страхе. 12 сентября 2001: Они вызвались бороться. Рассекреченная история солдат кавалерии»,"Крис Хемсворт, Майкл Шеннон, Майкл Пенья, Навид Негабан, Треванте Роудс, Джофф Стульц, Тэд Лакинбилл, Остин Хеберт, Остин Стоуэлл, Бен ОТул",Николай Фульси,"Тед Тэлли, Питер Крэйг","Йель Бадик, Джерри Брукхаймер, Гаррет Грант",Расмус Видебак,Лорн Бэлф,"Кристофер Гласс, Деррик Баллард, Трой Сайзмор",Лиза Лэссек,"боевик, драма, военный, история",{},None,None,45819713,145533,67450815,,6.117,8305,None,None,130,None,,,,FALSE,(),17.1.2018,8.3.2018,31.5 тыс.,$45 819 713,None,3-2018,145
"Знаешь, мама, где я был?",1100572,"Знаешь, мама, где я был?",,"Резо Габриадзе возвращает нам детство, время, когда ничего не страшно, когда все плохое вот-вот закончится, а хорошее останется навсегда. Мы снова там — среди больших книг и высоких деревьев, крутим ногами неподатливый мир — получаем оплеухи от Менделеева, летаем на истребителе и пишем признания в любви самой красивой женщине Кутаиси. Удивительная история детства художника, писателя и режиссера Резо Габриадзе, в которой реальные факты перемешиваются с фантазиями и снами десятилетнего мальчишки. Полнометражный анимационный фильм, созданный по рассказам и рисункам самого Резо, — тёплое и трогательное признание в любви художнику от самых близких ему людей.",2018,Россия,,,Леван Габриадзе,Реваз Габриадзе,"Тимур Бекмамбетов, Тимур Асадов, Вероника Беленикина",Юрий Кокошкин,"Гия Канчели, Олег Карпачев, Виктор Долидзе",,Мария Лихачева,"мультфильм, документальный, комедия, биография",{},None,None,None,77779,78053,,8.15,1796,8.1,129,62,None,,,,FALSE,(),13.3.2019,26.4.2018,None :,$77 779,None,11-2019,205
Круги дьявола,1006294,Круги дьявола,Jackals,"Семья, младший сын которой по имени Джастин попал в секту, нанимает специалиста по вытаскиванию людей из подобных организаций. Они похищают Джастина, привозят его в отдаленный дом в лесу, привязывают к стулу, и специалист начинает свою работу. Но дом вдруг окружают люди в масках — члены секты пришли за своим «братом».",2017,США,«Sacrifices must be made»,"Дебора Кара Ангер, Бен Салливан, Челси Рикеттс, Ник Ру, Джонатон Шек, Стивен Дорфф, Алекс Кинги, Кэрол Эбни, Алекс Кастильо, Rxchie",Кевин Гротерт,Джаред Риве,"Томми Аластра, Памела Монро, Джон Е. Мур",Эндрю Руссо,Антон Санко,"Селин Диано, Крис Дескинс, Эме Атнос","Джон Конильо, Кевин Гротерт","ужасы, триллер",{},None,None,None,44451,None,,4.835,1406,5.4,3590,85,None,,,,FALSE,(),11.8.2017,24.5.2018,None :,$44 451,None,32-2017,122
Решение о ликвидации,1118194,Решение о ликвидации,,"Особое задание спецгруппы ФСБ — ликвидация одержимого террориста Шамиля Базгаева. Охота продолжается уже долго, но жестокий лидер боевиков раз за разом ускользает. Однако, когда Базгаеву удается заполучить мощное оружие для осуществления своего самого страшного теракта, у оперативников больше нет права на ошибку. Для этих спецов преодоление себя, смертельный риск и подвиг — не что-то сверхъестественное, а каждодневный тяжелый труд. Но, кажется, даже для них эта операция — за пределами возможностей…",2018,Россия,,"Игорь Петренко, Иван Шахназаров, Алексей Вертков, Аюб Цингиев, Алексей Шевченков, Дмитрий Парастаев, Дагун Омаев, Сослан Фидаров, Кирилл Краснов, Шамиль Алханов",Александр Аравин,"Алексей Бузин, Павел Косов, Павел Павлов","Карен Шахназаров, Галина Шадур",Алик Тагиров,Юрий Потеенко,"Юлия Макушина, Сергей Стручев",Ирина Кожемякина,"военный, боевик, драма",{},None,None,None,88575,88242,,6.053,3705,5.4,153,96,None,,,,FALSE,(),28.7.2018,7.6.2018,None :,$88 242,None,30-2018,172
Мэнди,1078985,Мэнди,Mandy,"1983 год. Дровосек Ред с подругой Мэнди мирно живёт в живописном лесу рядом с озером. Ничего удивительного, но в лесу поселилось зло — религиозный культ в компании с адской байкерской бандой. Как не вовремя пошла Мэнди прогуляться в лесу, где и приглянулась зловещему лидеру культа Иеремие. Тот приказывает байкерам похитить девушку, накачивает её наркотиками и предаёт ритуальному сожжению. И не оставляет выбора дровосеку Реду, кроме как встать на тропу мести.",2017,"США, Бельгия, Великобритания",,"Николас Кейдж, Андреа Райзборо, Лайнас Роуч, Нед Деннехи, Олуэн Фуэре, Ричард Брэйк, Билл Дьюк, Лайн Пийе, Клеман Баронне, Алексис Жюльмон",Панос Косматос,"Панос Косматос, Аарон Стюарт-Ан, Крис «Каспер» Келли","Натаниель Болотин, Мартин Мец, Дэниэл Ноа",Бенжамин Лоб,Йохан Йоханнссон,"Хьюберт Пуль, Alice Eyssartier, Ильзе Уиллок","Бретт В. Бахман, Пол Пэйнтер","ужасы, фэнтези, боевик, триллер, детектив",{},6000000,None,1214525,77179,1335484,,6.32,16692,None,None,121,None,,,,FALSE,(),19.1.2018,11.10.2018,None,$6 000 000,None,3-2018,145
Дикая жизнь,1005852,Дикая жизнь,Wildlife,"История любви Джерри и Жанетт: о разбитом сердце, об ошибках, глупостях и утрате иллюзий, но главной движущей силой остаётся любовь.",2017,США,,"Эд Оксенбульд, Джейк Джилленхол, Кэри Маллиган, Трэвис Брюэр, Зои Маргарет Коллетти, Том Хьюстон Орр, Билл Кэмп, Дэррил Кокс, Джинджер Гилмартин, Майкл Гиббонс",Пол Дано,"Пол Дано, Зои Казан, Ричард Форд","Пол Дано, Andrew Duncan, Джейк Джилленхол",Диего Гарсиа,Дэвид Лэнг,"Акин МакКензи, Майлз Майкл, Аманда Форд","Луиз Форд, Мэттью Хэннем",драма,{},None,None,1050616,135304,3321367,,6.836,12329,None,None,105,None,,,,FALSE,(),20.1.2018,18.10.2018,28.7 тыс.,$1 050 616,None,3-2018,145
Догмэн,1070264,Догмэн,Dogman,"Марчелло — маленький человек с большим сердцем и грустными глазами. Он держит парикмахерскую для собак «Догмэн» и умеет усмирить ласковым словом и питбуля, и местного громилу Симоне, который терроризирует всю округу. Марчелло мечтает увезти любимую дочку в далекое путешествие, но по доброте душевной сопровождает Симоне в его криминальных вылазках, и однажды это приводит к катастрофе. Преданный другом, Марчелло впервые в жизни решается объявить настоящую войну.",2018,"Италия, Франция",«Everyone has a breaking point»,"Марчелло Фонте, Эдоардо Пеше, Нунциа Скьяно, Адамо Дионизи, Франческо Аквароли, Джанлука Гобби, Алида Бальдари Калабрия, Лаура Пиццирани, Джанкарло Поркачча, Аньелло Арена",Маттео Гарроне,"Уго Кити, Маттео Гарроне, Массимо Гаудиозо","Паоло Дель Брокко, Маттео Гарроне, Жан Лабади",Николай Брюэль,Микеле Брага,"Димитри Капуани, Массимо Паулетто, Массимо Кантини Паррини",Марко Сполетини,"триллер, драма, криминал",{},None,None,148225,38049,5080147,,6.635,4322,None,None,103,None,,,,FALSE,(),16.5.2018,15.11.2018,8.1 тыс.,$148 225,None,20-2018,162
Я - миллиардер,1108741,Я — миллиардер,Io sono Tempesta,"Расчетливый и циничный миллиардер Нума Темпеста по решению суда вынужден провести год на общественных работах в приюте для бездомных. При этом у него отобрали загранпаспорт, а ему срочно нужно попасть на важную встречу за границей, иначе сорвется крупная сделка. На какие только ухищрения ни пойдет богач, чтобы провернуть задуманное.",2018,Италия,,"Марко Джаллини, Элио Джермано, Элеонора Данко, Чо Сун, Франческо Геги, Карло Бигини, Марчелло Фонте, Франко Боккучча, Паола Да Грава, Памела Браун",Даниэле Лукетти,"Джулия Календа, Даниэле Лукетти, Сандро Петралья","Марко Кименц, Джованни Стабилини, Риккардо Тоцци",Лука Бигацци,,"Паола Коменчини, Мария Рита Барбера, Фиорелла Чиколини","Франческо Гарроне, Мирко Гарроне",комедия,{},None,None,None,49453,2042920,,5.766,1062,5.7,852,102,None,,,,FALSE,(),12.4.2018,22.11.2018,None :,$2 042 920,None,15-2018,157
Мертвец,2272,Мертвец,Dead Man,"После смерти родителей молодой счетовод Уильям Блэйк в надежде найти работу приезжает на Дикий Запад, где по злой воле случая за его голову назначается награда в 500 долларов. Раненого в грудь возле сердца, его выхаживает индеец, которого много лет возили по городам Америки и Англии в качестве живого экспоната. Он принял этого юношу в очках за поэта Уильяма Блэйка, чьи стихи запали в сердце «дикаря», и стал его ангелом-хранителем. А опекаемый, лишившись очков, сам вдруг стал стрелять без промаха, увеличивая стоимость своей головы, оставляя за собой след из трупов лиц, охочих до награды, и приближаясь к тому «месту, откуда приходят и куда возвращаются все духи».",1995,"США, Германия, Япония",«No one can survive becoming a legend»,"Джонни Депп, Гэри Фармер, Криспин Гловер, Лэнс Хенриксен, Майкл Уинкотт, Юджин Бирд, Джон Хёрт, Роберт Митчем, Игги Поп, Гэбриел Бирн",Джим Джармуш,Джим Джармуш,"Деметра Дж. МакБрайд, Карен Кох",Робби Мюллер,Нил Янг,"Боб Зимбицки, Тед Бернер, Марит Аллен",Джей Рабиновиц,"фэнтези, драма, вестерн",{},9000000,None,1037847,None,None,,7.845,57343,7.6,86664,121,None,,,,FALSE,(),27.5.1995,27.7.2017,None :,$9 000 000,None,21-1995,#N/A
Капернаум,1118042,Капернаум,Capharnaüm,"12-летний Зейн не может точно ответить на вопрос, сколько у него братьев и сестер, но уверен, что детей в его семье должно было быть меньше. Несмотря на юный возраст, Зейн нелегально работает, следит за младшими, помогает старшим, ищет деньги и документы на эмиграцию в Швецию. Он смотрит на мир с нескрываемой ненавистью. Ему есть что ненавидеть. Дети на улицах Бейрута попрошайничают, едят посыпанный сахаром лед и чипсы, девочек как можно раньше продают замуж, сам он вынужден есть, что попало, спать, где придется, и самое главное — он только что получил пятилетний срок. В тюрьме Зейн подаёт в суд на родителей. За то, что они дали ему жизнь.",2018,"Ливан, Франция, США, Кипр, Катар","«То, о чем предпочитают умалчивать»","Зейн Аль Раффеа, Йорданос Шифероу, Болуватифе Трэжа Банкоул, Кавсар Аль Хаддад, Фади Юзеф, Хаита «Седра» Иззам, Алаа Чучнье, Надин Лабаки, Елиас Хури, Нур Эль Хуссейни",Надин Лабаки,"Надин Лабаки, Джихад Ходжели, Мишель Кесервани","Кэндис Абела, Рэй Баракат, Джослин Барнс",Кристофер Аун,Халед Музаннар,"Хуссейн Байдун, Zeina Saab de Melero","Константин Бок, Лор Гердетт",драма,{},4000000,None,1661096,137962,64398132,,8.18,30930,None,None,126,None,,,,FALSE,(),17.5.2018,14.2.2019,None,$4 000 000,None,20-2018,162
Чужой,386,Чужой,Alien,"В далеком будущем возвращающийся на Землю грузовой космический корабль перехватывает исходящий с неизвестной планеты неопознанный сигнал. Экипаж, в соответствии с основными инструкциями, обязан найти и исследовать источник сигнала. Оказавшись на планете, астронавты повсюду обнаруживают неопознанные предметы, по виду напоминающие гигантские коконы.",1979,"Великобритания, США",«В космосе твой крик никто не услышит...»,"Сигурни Уивер, Том Скеррит, Иэн Холм, Джон Хёрт, Гарри Дин Стэнтон, Вероника Картрайт, Яфет Котто, Боладжи Бадеджо, Хелен Хортон, Эдди Пауэлл",Ридли Скотт,"Дэн ОБэннон, Рональд Шусетт","Гордон Кэрролл, Дэвид Гайлер, Уолтер Хилл",Дерек Ванлинт,Джерри Голдсмит,"Майкл Сеймур, Роджер Кристиан, Айвор Лесли Дилли","Дэвид Краузер, Терри Роулингс, Питер Уитерлей","ужасы, фантастика, триллер",{},11000000,None,78944891,138739,99932689,,8.061,156354,8.4,748139,116,None,,,,FALSE,(),25.5.1979,#N/A,None,$11 000 000,"зрителям, достигшим 16 лет",21-1979,#N/A
Норм и Несокрушимые: Ключи от королевства,1153779,Норм и Несокрушимые: Ключи от королевства,Norm of the North: Keys to the Kingdom,"Обаятельный мишка по имени Норм избран королем Арктики. Его приглашают в Нью-Йорк, где вручают почетную награду — Золотой ключ от Королевства. Пока герой купается в лучах славы, дерзкий грабитель под видом Норма похищает ценный трофей и организует серию ограблений банков. Чтобы восстановить свое доброе имя, Норм отправляется в погоню за бандитами, но в это время преступная корпорация вынашивает план превращения арктического льда в бутилированную воду популярного брэнда…",2017,"США, Индия",,"Эндрю То, Коул Ховард, Майя Кэй, Дженнифер Камерон, Алан Марриотт, Брайан Драммонд, Морин Джонс, Брайан Добсон, Лиза Дурупт, Ли Токар","Тим Молтби, Ричард И. Финн",Дерек Чан,"Кен Кацумото, Эндрю Тайт, Лиз Янг",,Луиджи Мерони,,"Майкл Брэдли, Ричард И. Финн, Киран Кумар Палленагари","мультфильм, комедия, приключения, семейный",{},None,None,None,111066,None,,4.738,311,3,599,90,None,,,,FALSE,(),31.8.2018,14.3.2019,None,None,None,35-2018,177
Асса,43545,Асса,,"Юная девушка, истосковавшись по яркой и безбедной жизни, связывает свою судьбу с крупным бандитским «авторитетом». Но есть и другая жизнь — птичья, полетная, просквозенная ветром и музыкой, жизнь мальчика Бананана. И две эти жизни трагически сталкиваются…",1987,СССР,,"Сергей Бугаев, Татьяна Друбич, Станислав Говорухин, Натан Эйдельман, Анатолий Сливников, Герман Шорр, Илья Иванов, Александр Баширов, Виктор Цой, Сергей Рыженко",Сергей Соловьев,"Сергей Ливнев, Сергей Соловьев, Натан Эйдельман",,Павел Лебешев,Борис Гребенщиков,"Марксэн Гаухман-Свердлов, Тимур Новиков, Ирина Гинно",Вера Круглова,"драма, мелодрама, криминал, история, музыка",{},None,None,None,None,None,,7.791,21774,7.8,2180,153,None,,,,FALSE,(),16.9.1988,28.3.2019,17.8 млн,None,None,38-1988,#N/A
Амундсен,1022484,Амундсен,Amundsen,"Молодой норвежский путешественник грезит об открытии неизведанных полярных земель. В погоне за мечтой и грандиозными свершениями герой жертвует всем: семейными узами, дружбой, любовью всей жизни. Получая взамен ледяные пустыни, бездонные трещины, нечеловеческий холод, метели и вечную мерзлоту.",2019,Норвегия,«Сквозь тайны вечного холода»,"Пол Сверре Валхейм Хаген, Кристиан Рубек, Кэтрин Уотерстон, Тронд Эспен Сейм, Гленн Андре Каада, Ида Урсин-Хольм, Руби Дагналл, Мадс Сьёгард Петтерсен, Фритьоф Сохэйм, Кеннет Окерланд Берг",Эспен Сандберг,Равн Ланесског,"Джон М. Якобсен, Кристиан Синкеруд, Павел Берцик",Пол Ульвик Роксет,Юхан Сёдерквист,"Карл Юлиуссон, Эггерт Кетилссон, Мартин Курель","Пер-Эрик Эриксен, Мартин Штольц","приключения, биография, драма, история",{},None,None,None,72615,3264853,,6.159,2256,None,None,125,None,,,,FALSE,(),15.2.2019,4.4.2019,16.5 тыс.,€8 000 000,None,7-2019,201
МУЛЬТ в кино. Выпуск №96,1258172,МУЛЬТ в кино. Выпуск 96. Будет интересно!,,"В новом выпуске волшебницы из Сказочного патруля спасут репутацию Кота, а Домики научатся летать. Также зрители увидят новые серии мультфильмов «Бобр Добр», «Ми-Ми-Мишки», «Катя и Эф. Куда-угодно-дверь» и «Деревяшки».",2019,Россия,,,"Елена Полякова, Александр Воробьёв, Ася Стрельбицкая","Юлия Иванова, Константин Костенко, Анастасия Азеева","Иван Кудрявцев, Татьяна Цыварева",,,,,"детский, мультфильм",{},None,None,None,None,None,,None,None,None,None,44,None,,,,FALSE,(),#N/A,27.4.2019,None,None,None,#N/A,#N/A
Королева сердец,1166972,Королева сердец,Dronningen,"Анна — успешный юрист, идеальная жена, заботливая мать. Однажды в дом приезжает Густав — сын мужа от первого брака. Между Анной и Густавом вспыхивает запретная страсть. Искушение становится наваждением. Ничто уже не будет прежним.",2019,"Дания, Швеция",,"Трине Дюрхольм, Густав Линд, Магнус Креппер, Лив Эсмор Даннеманн, Силья Эсмор Даннеманн, Стине Гюльденкерне, Пребен Кристенсен, Фредерикке Даль Хансен, Элла Солгор, Карла Филип Родер",Май эль-Туки,"Марен Луизе Кеэне, Май эль-Туки","Каролина Бланко, Рене Эзра, Матильда Аппелин",Яспер Спаннинг,Йон Экстранд,"Миа Стенсгаард, Джон Трулсен, Ребекка Ричмонд",Расмус Стенсгаард Мадсен,"триллер, мелодрама",{},None,None,None,39655,436915,,6.486,3698,7.2,4997,127,None,,,,FALSE,(),26.1.2019,16.5.2019,None :,$436 915,None,4-2019,198
Мы всегда жили в замке,994647,Мы всегда жили в замке,We Have Always Lived in the Castle,"История семьи отшельников Блэквудов — двух молодых сестёр и больного дяди, — которые стали мишенью злых пересудов после загадочной гибели остальных родственников. Сёстры укрываются в поместье — своем особенном закрытом мире, чьи границы самовольно нарушает красавец-кузен, приехавший с корыстными намерениями.",2018,США,,"Таисса Фармига, Александра Даддарио, Себастиан Стэн, Криспин Гловер, Стефен Хоган, Паула Малкомсон, Питер Кунан, Йен Тонер, Джоэнн Кроуфорд, Анна Олсон",Стэйси Пассон,"Марк Крюгер, Ширли Джексон","Майкл Дуглас, Джаред Голдман, Роберт Митас",Пирс Макгрейл,"Эндрю Хьюит, Аль Лукас","Анна Рэкард, Луиз Мэтьюз, Имер Ни Мэлдауни",Райан Денмарк,"триллер, драма, детектив",{},None,None,None,29623,62567,,5.419,1735,None,None,90,None,,,,FALSE,(),22.9.2018,6.6.2019,None :,$62 567,None,38-2018,180
МУЛЬТ в кино. Выпуск № 99,1272319,МУЛЬТ в кино. Выпуск 99. Отдыхаем хорошо!,,"В новом выпуске ми-ми-мишки будут строить бассейн, а девочки из Сказочного патруля — искать родителей Алёнки. Также зрители увидят новые серии мультфильмов «Волшебный фонарь», «Планета Ай», «Катя и Эф» и «Дракоша Тоша».",2019,Россия,,,"Вера Мякишева, Роман Трамвай, Андрей Бахурин","Иордан Кефалиди, Вадим Воля, Станислав Михайлов","Иван Кудрявцев, Татьяна Цыварева",,,,,"мультфильм, детский",{},None,None,None,None,None,,None,None,None,None,45,None,,,,FALSE,(),#N/A,22.6.2019,None,None,None,#N/A,#N/A
Принцесса Мононоке,441,Принцесса Мононоке,Mononoke-hime,"Юный принц Аситака, убив вепря, навлек на себя смертельное проклятие. Старая знахарка предсказала ему, что только он сам способен изменить свою судьбу. И отважный воин отправился в опасное путешествие. Так он оказался в загадочной стране, где люди под предводительством злой госпожи Эбоси воевали с обитателями леса: духами, демонами и гигантскими существами, каких Аситака раньше никогда не видел.  И была с ними принцесса Мононоке — повелительница зверей и дочь волчицы. Теперь судьба всех зависит только от одного воина — принца Аситаки.",1997,Япония,«Live on»,"Ёдзи Мацуда, Юрико Исида, Цунэхико Камидзё, Юко Танака, Мицуко Мори, Каору Кобаяси, Масахико Нисимура, Акихиро Мива, Хисая Морисигэ, Суми Симамото",Хаяо Миядзаки,Хаяо Миядзаки,"Тосио Судзуки, Ютака Нарита, Сэйдзи Окуда",Ацуси Окуи,Дзё Хисаиси,"Сатоси Курода, Кадзуо Ога, Ёдзи Такэсигэ","Хаяо Миядзаки, Такэси Сэяма","аниме, мультфильм, фэнтези, драма, приключения",{},None,None,2375308,None,159414369,,8.152,91925,8.4,314589,134,None,,,,FALSE,(),12.7.1997,24.6.2010,"14.2 млн,      500.4 тыс.,      467.3 тыс., ...",¥2 400 000 000,None,28-1997,#N/A
Офелия,975701,Офелия,Ophelia,"Темные времена настали в королевстве. Правитель мертв, а его трон занял самозванец и убийца. Гамлет, законный наследник престола, клянется отомстить за отца. Сердце принца способна смягчить лишь прекрасная Офелия. Ради него она готова оставить двор и пойти против тирана. Но cмогут ли их чувства преодолеть саму смерть?",2018,"Великобритания, США",«Vengeance Destroys Love»,"Дэйзи Ридли, Миа Куини, Кэлам ОРурк, Натаниель Паркер, Джек Каннингэм-Натталл, Ленка Олсанова, Даниэла Хирш, Вероника Страпкова, Исси Стюарт, Адриана Герцигоня",Клэр Маккарти,"Лиза Клейн, Семи Челлас, Уильям Шекспир","Дэниэл Бобкер, Сара Кертис, Пол Хэнсон",Денсон Бэйкер,Стивен Прайс,"Дэвид Уоррен, Мирослав Вачкарж, Массимо Кантини Паррини",Люк Данкли,"мелодрама, история",{},None,None,50722,79950,229405,,6.381,2495,None,None,114,None,,,,FALSE,(),22.1.2018,25.7.2019,19.5 тыс.,$50 722,None,4-2018,146
Гив ми либерти,1137304,Гив ми либерти,Give Me Liberty,"История о трёх поколениях русской эмиграции, о мелких аферистах и обаятельных маргиналах, которые оказываются в одном микроавтобусе по дороге на шумные поминки.",2019,США,,"Лорен Спенсер, Крис Галуст, Максим Стоянов, Дарья Екамасова, Зоя Махлина, Дороти Рейнольдс, Шерил Симс-Дэниэлс, Стив Волски, Мишель Каспар, Бен Дерфель",Кирилл Михановский,"Элис Остин, Кирилл Михановский","Вэл Абель, Уолтер С. Холл, Майкл Манассери",Уайатт Гарфилд,,"Барт Мангрум, Мойра Трэйси, Кейт Грубе",Кирилл Михановский,комедия,{},None,None,242734,65997,624152,,7.156,4499,None,None,110,None,,,,FALSE,(),24.1.2019,1.8.2019,14.2 тыс.,$242 734,None,4-2019,198
Мобильный воин Гандам: Нарратив,1229836,Мобильный воин Гандам: Нарратив,Mobile Suit Gundam NT,"Трое друзей — Рита, Мишель и Йона — были самыми обычными детьми. Но всё изменилось, когда они предсказали величайшую катастрофу в истории человечества — падение на поверхность Земли огромной космической станции. Они спасли от гибели целый город, но не смогли сохранить своё детство и дружбу. Их прозвали Чудесными детьми и отдали военным учёным для опытов по изучению их суперспособностей. Но разлучило их не это, а обман и предательство. Тогда никто из них даже представить не мог, что через 20 лет судьба сведёт их вновь в глобальной космической битве, но по разные стороны конфликта.  Смогут ли любовь и дружба победить в звёздной войне? Или же былые чувства навеки сожжены шквальным огнём гигантских боевых роботов?",2018,Япония,,"Юитиро Умэхара, Дзюнъя Эноки, Аю Мацуура, Томо Муранака, Кадзухиро Ямадзи, Сэцудзи Сато, Масаки Тэрасома, Таканори Хосино, Кадзуя Накаи, Наоки Таманои",Сюнъити Ёсидзава,"Харутоси Фукуи, Ёсиюки Томино, Хадзимэ Ятатэ",,,Хироюки Савано,"Юкико Маруяма, Ёсими Минэда",Даисукэ Имаи,"аниме, мультфильм, боевик, фантастика",{},None,None,None,19401,None,,5.797,191,5.9,198,88,None,,,,FALSE,(),30.11.2018,15.8.2019,None,None,None,48-2018,190
